term,z,n_bad,n_good,gloss
imaginava,-3.3707993716234235,5.0,43.0,
lindos,-3.4718814222072836,1.0,58.0,
lacrado,-3.4805440799195115,3.0,42.0,
preços,-3.4805440799195115,3.0,42.0,
lindas,-3.4893431112867543,1.0,59.0,
embalada,-3.511229670367438,6.0,48.0,
alta,-3.521147320571598,4.0,44.0,
pontual,-3.534957627475783,2.0,45.0,
eficiência,-3.5399873730334166,1.0,62.0,
prático,-3.6037899253836603,1.0,66.0,
ordem,-3.6037899253836603,1.0,66.0,
necessidades,-3.6234071012105247,5.0,48.0,
rapidamente,-3.64340372327545,3.0,46.0,
justo,-3.64340372327545,3.0,46.0,
exelente,-3.6592115499561904,2.0,49.0,
estimado,-3.6618757818696626,10.0,61.0,
boas,-3.7565215753991743,3.0,49.0,
amou,-3.7740696802302534,1.0,78.0,
ótimos,-3.8008726952525635,2.0,54.0,
jeito,-3.807199410347682,17.0,82.0,
bons,-3.825907008046772,4.0,51.0,
cumpre,-3.8502393600615332,19.0,88.0,
instalei,-3.8515385295459557,5.0,53.0,
poderia,-3.8672595302156596,43.0,147.0,
agradeço,-3.913851742727749,10.0,66.0,
acabamento,-3.936301813097488,44.0,151.0,
recomendado,-3.962891950796772,8.0,62.0,
surpreendeu,-3.9633197212136357,3.0,55.0,
benefício,-3.963936225273769,1.0,94.0,
atende,-3.9838868343787026,27.0,111.0,
legal,-3.9875605915174726,9.0,65.0,
confortável,-4.027250197769734,3.0,57.0,
leve,-4.0802291317716595,9.0,67.0,
top,-4.123646858311738,1.0,110.0,
usei,-4.142878104867971,17.0,89.0,
adoro,-4.157651457322388,2.0,69.0,
material,-4.242484756352302,110.0,308.0,
seguro,-4.2626953199939095,4.0,63.0,
determinado,-4.300800653006147,9.0,72.0,
vendedor,-4.335962355058217,134.0,363.0,seller
parabens,-4.3826939733461945,1.0,142.0,congratulations
realmente,-4.411949032412814,17.0,95.0,
pontualidade,-4.437397587957729,7.0,71.0,
compras,-4.672422483955836,60.0,208.0,
prometido,-4.682221455228253,23.0,117.0,
anunciado,-4.726625741119215,73.0,240.0,advertised
produto,-4.766561992396344,5356.0,10091.0,product
descrito,-4.858791483321518,31.0,142.0,
rapida,-4.901252510000381,1.0,237.0,fast
otima,-4.913974230827011,1.0,240.0,
valeu,-4.953594449663311,9.0,89.0,
fiquei,-5.055730388053602,106.0,326.0,
gosto,-5.100052388866636,15.0,107.0,
agilidade,-5.174430291783976,7.0,93.0,
testei,-5.261157412271725,6.0,96.0,
perfeitamente,-5.3851253652824,3.0,122.0,
superou,-5.410291396707518,2.0,164.0,
resistente,-5.439433247276139,6.0,103.0,
estabelecido,-5.488144164078424,6.0,105.0,
expectativa,-5.496378300511063,8.0,105.0,
