seller_state,customer_state,orders,avg_score,bad_rate,late_rate,avg_delivery_days,avg_transit_days,avg_distance_km,gmv,lane,excess_detractors,gmv_exposure,sar_share
RS,SP,663,4.355957767722473,0.07541478129713423,0.02262443438914027,10.14258945031004,6.910781722054381,861.6344158231807,115733.46,RS to SP,-34.76908748430306,0.0,0.0
RS,SC,116,4.568965517241379,0.034482758620689655,0.0,9.369330699233716,6.271420019157088,352.61623092683135,20113.69,RS to SC,-10.831393888656342,0.0,0.0
DF,SP,307,4.17915309446254,0.10749185667752444,0.029315960912052116,10.844790535649656,7.795251990589939,822.2762428862977,35511.03,DF to SP,-6.2520510673922125,0.0,0.0
GO,SP,125,4.376,0.072,0.04,10.889316666666668,8.303905555555556,763.6681142099724,21306.7,GO to SP,-6.982105483465886,0.0,0.0
MG,DF,185,4.286486486486487,0.08648648648648649,0.032432432432432434,11.918926426426426,8.782856606606607,602.9551916605225,32276.22,MG to DF,-7.653516115529509,0.0,0.0
MG,ES,166,4.174698795180723,0.12650602409638553,0.04216867469879518,15.152610441767068,11.37154032797858,519.9685545445665,19065.06,MG to ES,-0.22423608204269718,0.0,0.0
MG,GO,148,4.162162162162162,0.12162162162162163,0.02702702702702703,14.20053490990991,11.306217154654654,633.7238355602624,19007.48,MG to GO,-0.9228128924236072,0.0,0.0
MG,MG,1513,4.359550561797753,0.08592200925313946,0.031725049570389956,8.656736983182787,5.592566549010956,259.8776559184371,176483.35,MG to MG,-63.44740477187107,0.0,0.0
MG,PE,109,4.385321100917431,0.10091743119266056,0.08256880733944955,16.657931957186545,13.514589704383283,1696.8980063716533,12203.39,MG to PE,-2.9363959815822516,0.0,0.0
MG,PR,361,4.332409972299169,0.07756232686980609,0.019390581717451522,12.745500538627269,9.669769544475223,812.2727099479205,47053.82,MG to PR,-18.15632063624948,0.0,0.0
MG,RS,274,4.2226277372262775,0.11313868613138686,0.051094890510948905,17.237687550689376,14.001125304136254,1250.5405778673505,34308.51,MG to RS,-4.03277521975722,0.0,0.0
MG,SC,250,4.12,0.124,0.084,16.93406388888889,13.171044444444444,908.3161774950258,34171.86,MG to SC,-0.9642109669317709,0.0,0.0
MG,SP,2531,4.248123271434216,0.09798498617147372,0.04227578032398262,10.879015760129944,7.712625988142292,417.5892393538426,311808.2,MG to SP,-75.60567182921726,0.0,0.0
PE,SP,104,4.365384615384615,0.09615384615384616,0.028846153846153848,11.891493055555555,9.640184294871794,2098.262353523893,23153.22,PE to SP,-3.297111762243616,0.0,0.0
PR,DF,147,4.238095238095238,0.12244897959183673,0.04081632653061224,13.213298374905518,10.28156179138322,1041.8078609946274,25810.28,PR to DF,-0.7949560485558815,0.0,0.0
